,Unnamed: 0,age,education,employment,meanhouseholdincome,log_income
0,1,37.403347,10.912822,0.740029403,18533.844,4.267965503228943
2,3,31.809427,13.913371,1.085855466,40784.491,4.610495046580151
4,5,35.990794,10.097773,0.628752643,17496.526,4.242951826468976
6,7,37.260141,10.969157,0.854324734,19416.41,4.2881689340520195
8,9,40.427321,11.575772,0.781539289,21607.34,4.334601305780669
10,11,38.247612,10.992349,0.743715084,17243.748,4.2366316674520235
12,13,42.595152,11.152699,0.85822478,23200.955,4.365505861731162
14,15,34.214634,11.20447,0.691763967,18032.094,4.256046162653612
16,17,35.627126,10.856838,0.622198276,17908.275,4.253053754801508
18,19,37.257194,11.852538,0.895858298,27246.445,4.435309845416308
20,21,36.652502,10.914286,0.697684484,17075.819,4.232381542728429
22,23,37.970957,11.067806,0.569655172,23229.717,4.366043918965667
24,25,36.950926,11.28976,0.65729797,18803.329,4.274234744920127
26,27,41.281413,11.732354,0.960644131,24081.319,4.381680270739171
28,29,39.591127,11.040657,0.732524622,19621.527,4.292732802323667
30,31,35.342704,11.122241,0.740832919,18575.734,4.268945983447508
32,33,36.663664,10.313361,0.697005703,15759.746,4.19754921368099
34,35,37.131733,11.282784,0.751097039,21774.5,4.337948191246449
36,37,36.014161,10.963056,0.781658073,17906.209,4.2530036492408305
38,39,36.05662,10.871316,0.754308656,18521.621,4.267678993174632
40,41,43.365659,11.545117,0.812665493,22530.293,4.352766839635761
42,43,41.450944,10.847421,0.720899664,19922.966,4.299353993803812
44,45,37.871068,10.918815,0.801495017,19429.886,4.288470252492928
46,47,39.309153,11.289994,0.757722008,21260.278,4.327568939071408
48,49,36.056251,11.264865,0.777471231,21601.503,4.334483969757287
50,51,37.074931,11.377635,0.767183911,19842.428,4.297594813104702
52,53,34.741899,11.287825,0.697890597,16769.984,4.224532648252178
54,55,37.858698,11.589345,0.71084826,17708.597,4.248184154679934
56,57,38.901859,12.271627,0.885177321,26424.455,4.422006038820203
58,59,37.090526,11.182801,0.755742981,18934.872,4.277262373629986
60,61,34.923772,10.648223,0.549748073,15626.574,4.1938637729016355
62,63,36.074935,11.984953,0.907054375,21804.016,4.338536492045311
64,65,38.738956,11.360352,0.698682109,19674.435,4.293902269371355
66,67,38.608387,11.34946,0.816734486,21145.35,4.325214878029179
68,69,38.734631,11.819387,0.931126482,23067.118,4.362993337265646
70,71,36.989253,10.595894,0.638381845,15079.265,4.178380173481798
72,73,36.173497,10.952548,0.839756917,19499.429,4.290021894143034
74,75,34.387888,11.084127,0.725892947,18509.69,4.267399145256589
76,77,36.130873,11.367358,0.765829577,19448.763,4.288891984100892
78,79,36.233209,11.445062,0.844884737,20797.081,4.3180023833015255
80,81,37.761982,11.802005,0.857654257,21633.547,4.3351277314703545
82,83,39.878343,11.351974,1.23537415,22800.79,4.357949894662599
84,85,36.364974,11.316031,0.828971566,20040.984,4.301919041310917
86,87,36.052708,10.936847,0.635512652,18259.811,4.261496278013073
88,89,38.014686,11.550947,0.851970455,23456.902,4.370270653425342
90,91,36.067415,11.532932,0.766850858,19009.986,4.278981797027201
92,93,41.39795,12.402028,0.935205184,25973.62,4.414532482415698
94,95,46.479728,13.321496,1.094007697,42163.864,4.624940403840697
96,97,42.459805,11.656837,1.039185821,25322.717,4.40351030145599
98,99,47.138928,13.288964,1.294812413,43671.062,4.640193753293717
100,101,36.96933,11.101793,0.689701593,19277.59,4.2850527393633655
102,103,39.278218,10.344589,0.925990736,16653.329,4.22150106197545
104,105,41.406059,11.610858,0.758096585,22740.836,4.356806426205418
106,107,41.532162,12.036889,0.958704821,25584.645,4.407979395292474
108,109,40.999339,11.523633,0.927435131,20931.734,4.320805207098289
110,111,42.729997,12.644969,1.058203777,20201.63,4.305386412587501
112,113,46.260723,14.481094,1.190557313,50490.67,4.70321113372524
114,115,37.157557,12.040797,1.026639027,27004.518,4.431436430022751
116,117,33.83558,12.1283,1.033466999,28363.331,4.452757233209521
118,119,37.766754,11.894277,0.959047944,25388.805,4.404642259986782
120,121,39.89111,12.634578,1.015485341,30274.266,4.4810736224669805
122,123,38.895653,12.714269,1.073386674,33651.099,4.526999252270002
124,125,39.303594,10.134994,0.686841313,16295.152,4.212058415887593
126,127,37.886091,13.811981,1.24912944,50267.107,4.701283891194052
128,129,37.646446,11.554848,0.986500794,24830.455,4.3949846777574955
130,131,43.94322,13.67069,1.231132912,42649.128,4.629910156050794
132,133,39.734279,12.215381,1.053442833,28059.445,4.448079076677331
134,135,39.032405,11.95955,1.010613348,26445.422,4.422350501618157
136,137,35.596118,12.901721,1.182506308,30988.07,4.491194528338297
138,139,45.845467,12.959736,1.688639167,52590.956,4.7209110655035325
140,141,38.539571,13.157817,1.719689119,55644.034,4.745418607309109
142,143,37.253818,13.888675,2.162620157,58405.431,4.766453233134055
144,145,39.632612,13.335517,1.909090909,52096.795,4.716811006281694
146,147,42.026065,11.92543,1.577112111,39937.744,4.601383528836557
148,149,38.270577,14.684138,1.799059929,48183.014,4.682893963006196
150,151,43.797169,13.741654,1.679601648,71043.328,4.851523297621083
